PERIODO,SI,CC
4,ADMINISTRACAO DE RECURSOS HUMANOS,FUNDAMENTOS DA TEORIA DA COMPUTACAO 
,ORGANIZACAO DE COMPUTADORES I,ORGANIZACAO DE COMPUTADORES I
,ALGORITMOS I,ALGORITMOS I
,USUARIOS DA INFORMACAO,INTRODUÇÃO À CIÊNCIA DOS DADOS 
,NADA,ALGEBRA A 
5,ADMINISTRACAO DA PRODUCAO,PESQUISA OPERACIONAL
,INTRODUÇÃO À CONTABILIDADE,ALGORITMOS II 
,LINGUAGENS DE PROGRAMACAO,LINGUAGENS DE PROGRAMACAO
,NTERACAO HUMANO-COMPUTADOR ,EQUACOES DIFERENCIAIS C
,ORGANIZACAO E TRATAMENTO DA INFORMACAO,NADA
6,ADMINISTRACAO DE CUSTOS ,COMPILADORES I 
,ENGENHARIA DE SOFTWAR,ENGENHARIA DE SOFTWAR
,SISTEMAS OPERACIONAIS,SISTEMAS OPERACIONAIS
,NADA,INTRODUÇÃO À FÍSICA ESTATÍSTICA COMPUTACIONAL
7,ADMINISTRACAO FINANCEIRA,FUNDAMENTOS DE SISTEMAS PARALELOS E DISTRIBUÍDOS
,ENGENHARIA DE SOFTWARE II,INTRODUÇÃO À INTELIGÊNCIA ARTIFICIAL
,REDES DE COMPUTADORES,REDES DE COMPUTADORES
,ÉTICA NA COMPUTAÇÃO,ÉTICA NA COMPUTAÇÃO
8,ADMINISTRACAO MERCADOLOGICA,NADA
,COMPUTAÇÃO E SOCIEDADE,COMPUTAÇÃO E SOCIEDADE
